name,lat,long,count,date,certainty_index
Boston Public Library,42.34936189,-71.07819992,692.0,2008-02-29 00:00:00,1
Columbia University,40.80657713,-73.96320572,870.0,2008-02-29 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,103.0,2008-02-29 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1685.0,2008-02-29 00:00:00,1
UIUC,40.10440926,-88.22933583,156.0,2008-02-29 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,65.0,2008-02-29 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,19.0,2008-02-29 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,38.0,2008-02-29 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2199.0,2008-03-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1921.0,2008-03-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,841.0,2008-03-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,82.0,2008-03-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,622.0,2008-03-31 00:00:00,1
UNC Chapel Hill,35.91177641,-79.04727727,94.0,2008-03-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1898.0,2008-03-31 00:00:00,1
UIUC,40.10440926,-88.22933583,224.0,2008-03-31 00:00:00,1
"University of Maryland, College Park",38.98690162,-76.94130975,66.0,2008-03-31 00:00:00,1
North Carolina State University,35.78748428,-78.66939426,27.0,2008-03-31 00:00:00,1
Smithsonian Libraries and Archives,38.89132735,-77.02586404,2.0,2008-03-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,38.0,2008-03-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2314.0,2008-04-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1888.0,2008-04-30 00:00:00,1
Princeton University,40.34604013,-74.66685643,59.0,2008-04-30 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,836.0,2008-04-30 00:00:00,1
Library of Congress,38.8895692,-77.0045688,536.0,2008-04-30 00:00:00,1
Columbia University,40.80657713,-73.96320572,538.0,2008-04-30 00:00:00,1
