,name,alt_names,total_scans,start_date,end_date,months,average_scans_per_month,total_books,total_pages,median_turnover,days,total_workers,total_days_worked,productivity_per_worker
15,Analysis and Policy Observatory (APO),['tt_swinburne'],16,2017-05-31 0:00:00,0000-00-00,5,3,41,2342.0,207.0,207.0,1,207,11.31400966183575
16,University of Warwick,['tt_warwick'],3,2018-03-31 0:00:00,0000-00-00,1,3,715,38355.0,51.0,2569.0,4,1070,35.845794392523366
17,Ernst Mayr Library of the Museum of Comparative Zoology,['tt_harvardernstmayr'],118,2015-10-31 0:00:00,2021-12-31 0:00:00,26,4,942,96543.0,769.0,2812.0,4,2686,35.94303797468354
18,"BYU, Hawaii",['honolulu'],135,2011-07-31 0:00:00,2013-12-31 0:00:00,27,5,884,339746.0,311.0,1126.0,8,3637,93.41380258454771
19,California State Library,['sacramento'],60,2011-10-31 0:00:00,2014-12-31 0:00:00,11,5,1893,1084391.0,645.5,1351.0,4,3234,335.3095238095238
20,University of Chinese Academy of Sciences,['beijing'],57,2010-09-30 0:00:00,2011-07-31 0:00:00,11,5,1277,371960.0,204.0,1213.0,5,1598,232.7659574468085
21,University of Pretoria,['pretoria'],254,2014-09-30 0:00:00,2017-12-31 0:00:00,31,8,2435,442591.0,279.0,1788.0,11,5167,85.65724791948907
22,The Ohio State University,['tt_osu'],429,2016-09-30 0:00:00,2021-12-31 0:00:00,44,9,924,114679.0,1090.0,2373.0,5,3437,33.36601687518184
23,"BYU, Idaho Family History Library",['rexburg'],303,2011-06-30 0:00:00,2015-12-31 0:00:00,26,11,1655,772467.0,173.0,1849.0,12,9209,83.88174611792812
25,"Natural History Museum Library, London","['lond ', ' london']",2337,2002-01-31 0:00:00,2020-12-31 0:00:00,129,18,10759,4563103.0,601.0,7625.0,16,12568,363.07312221514957
26,Smithsonian Libraries and Archives,['washingtondc'],3089,2007-08-31 0:00:00,2019-12-31 0:00:00,150,20,16664,5870625.0,994.0,5763.0,26,32675,179.66717674062738
